Cluster Id,Description,Merge candidates?
0,"Colorful, abstract geometry",Abstract
1,Worldly urban scenery,City-scape
2,Fun digital caricature,
3,"Colorful, whimsical painting",
4,Cute animal,Dog / animal
5,Intricate floral pattern,Pattern
6,"Colorful, simple pattern",Pattern
7,"Cute, simple ",
8,Stylized animal,Dog / animal
9,Line drawing,Line drawing
10,Stylized portrait,Portrait
11,Motivational graphic slogan,Graphic slogan
12,Funny animal,Dog / animal
13,Colorful scene,
14,"Bird, tree, and flower",Flower/plant
15,Faux historical,
16,Object pattern,Pattern
17,Quote and definition,Graphic slogan
18,Magazine cover,
19,Radial floral pattern,Pattern
20,Large pattern,Pattern
21,Cute character,
22,Sky and horizon,Natrual Imagery
23,Solid color,
24,People and character,
25,Coastline,Natrual Imagery
26,Vertical stripe,Pattern
27,Cartoon people,
28,Cityscape,City-scape
29,Graphic slogan,Graphic slogan
30,Flower and plant print,Flower/plant
31,Aged city map,Citymap
32,Water-esque,
33,Abstract line and flag,Abstract
34,Cartoon people and animal,
35,Colorful liquid,
36,Abstract shape,Abstract
37,Realistic floral,Flower/plant
38,Wooded country,Natrual Imagery
39,Abstract pattern,Abstract
40,Abstract people and food,Abstract
41,Realistic floral,Flower/plant
42,Colorful liquid,
43,Mountain vista,Natrual Imagery
44,Story and music poster,
45,People-in-action,
46,Colorful dreamscape,
47,Cozy surreal and impressionist ,
48,Quadrilateral pattern,Pattern
49,Black and white character,
50,Colorful floral print,Flower/plant
51,Noir and realistic,
52,Surreal animal and people,
53,Architecture,City-scape
54,Graphic slogan,Graphic slogan
55,Blueprint and minimalist drawing,
56,Nude and bathing suit,
57,Graphic slogan,Graphic slogan
58,Relaxing modern,
59,Cute cartoon,
60,Minimal black-background,
61,Colorful landscape,Natrual Imagery
62,Close-up face,
63,Modern city map,
64,Black and white animal and people,
65,Aquatic creature,
66,Rugged landscape,
67,Color gradient,
68,Fern-like pattern,
69,Abstract round,
70,Complex tapestry pattern,
71,Fairy-tale painting,
72,Simple pattern,
73,Floral painting,
74,Cute pastel,
75,Tesselation pattern,
76,Cartoon creatures,
77,Natural texture,
78,Faux aged poster,
79,Dog and wolf,
80,Natrual pattern,
81,Beach,
82,Sparse pattern,
83,Vintage poster,
84,Bright floral pattern,
85,"Black background, graphic slogan",
86,Whimsical,
87,Dog,
88,Line sillouette,
89,Round and floral pattern,
90,"Small, simple pattern",
91,"Colorful, drawn ",
92,Fantasy,
93,Graphic slogan,
94,Abstract round,
95,Palm tree,
96,Cartoon nude and slogan,
97,Religous,
98,Abstract plant and people,
99,Complex radial pattern,
